State,GA,Policy (bill) identifier,Policy sponsor,Policy sponsor party,Link to bill,bill text,Cosponsor,Act identifier,Matched keywords,Introduced date,Effective date,Passed introduced chamber date,Passed second chamber date,Dead date,Enacted (Y/N),Enacted Date
Louisiana,2026 Regular Session,HB1,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB1&sbi=y,bill_full_texts\26rs_HB1.pdf,,,Foreign,02/20/2026,,,,,N,
Louisiana,2026 Regular Session,HB7,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB7&sbi=y,bill_full_texts\26rs_HB7.pdf,,,Alien; Foreign,01/12/2026,,,,,N,
Louisiana,2026 Regular Session,HB37,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB37&sbi=y,bill_full_texts\26rs_HB37.pdf,,,Foreign,01/22/2026,,,,,N,
Louisiana,2026 Regular Session,HB125,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB125&sbi=y,bill_full_texts\26rs_HB125.pdf,,,Immigration,02/13/2026,,,,,N,
Louisiana,2026 Regular Session,HB175,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB175&sbi=y,bill_full_texts\26rs_HB175.pdf,,,Foreign,02/18/2026,,,,,N,
Louisiana,2026 Regular Session,HB180,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB180&sbi=y,bill_full_texts\26rs_HB180.pdf,,,Foreign,02/18/2026,,,,,N,
Louisiana,2026 Regular Session,HB192,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB192&sbi=y,bill_full_texts\26rs_HB192.pdf,,,Foreign,02/18/2026,,,,,N,
Louisiana,2026 Regular Session,HB253,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB253&sbi=y,bill_full_texts\26rs_HB253.pdf,,,Foreign,02/20/2026,,,,,N,
Louisiana,2026 Regular Session,HB260,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB260&sbi=y,bill_full_texts\26rs_HB260.pdf,,,Foreign,02/23/2026,,,,,N,
Louisiana,2026 Regular Session,HB320,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB320&sbi=y,bill_full_texts\26rs_HB320.pdf,,,Foreign,02/24/2026,,,,,N,
Louisiana,2026 Regular Session,HB335,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB335&sbi=y,bill_full_texts\26rs_HB335.pdf,,,Alien; Citizenship; Immigration,02/24/2026,,,,,N,
Louisiana,2026 Regular Session,HB402,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB402&sbi=y,bill_full_texts\26rs_HB402.pdf,,,Foreign,02/25/2026,,,,,N,
Louisiana,2026 Regular Session,HB471,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB471&sbi=y,bill_full_texts\26rs_HB471.pdf,,,Citizenship,02/26/2026,,,,,N,
Louisiana,2026 Regular Session,HB486,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB486&sbi=y,bill_full_texts\26rs_HB486.pdf,,,Foreign,02/26/2026,,,,,N,
Louisiana,2026 Regular Session,HB525,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB525&sbi=y,bill_full_texts\26rs_HB525.pdf,,,Immigration,02/26/2026,,,,,N,
Louisiana,2026 Regular Session,HB548,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB548&sbi=y,bill_full_texts\26rs_HB548.pdf,,,Foreign,02/26/2026,,,,,N,
Louisiana,2026 Regular Session,HB578,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB578&sbi=y,bill_full_texts\26rs_HB578.pdf,,,Foreign,02/26/2026,,,,,N,
Louisiana,2026 Regular Session,HB613,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB613&sbi=y,bill_full_texts\26rs_HB613.pdf,,,Citizenship,02/26/2026,,,,,N,
Louisiana,2026 Regular Session,HB635,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB635&sbi=y,bill_full_texts\26rs_HB635.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB690,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB690&sbi=y,bill_full_texts\26rs_HB690.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB691,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB691&sbi=y,bill_full_texts\26rs_HB691.pdf,,,Alien; Citizenship,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB734,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB734&sbi=y,bill_full_texts\26rs_HB734.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB750,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB750&sbi=y,bill_full_texts\26rs_HB750.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB784,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB784&sbi=y,bill_full_texts\26rs_HB784.pdf,,,Foreign; Immigration,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB801,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB801&sbi=y,bill_full_texts\26rs_HB801.pdf,,,Border,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB808,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB808&sbi=y,bill_full_texts\26rs_HB808.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB816,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB816&sbi=y,bill_full_texts\26rs_HB816.pdf,,,Citizenship; Foreign; Immigration,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB837,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB837&sbi=y,bill_full_texts\26rs_HB837.pdf,,,Alien; Immigration,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB846,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB846&sbi=y,bill_full_texts\26rs_HB846.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB888,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB888&sbi=y,bill_full_texts\26rs_HB888.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB908,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB908&sbi=y,bill_full_texts\26rs_HB908.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB912,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB912&sbi=y,bill_full_texts\26rs_HB912.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB918,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB918&sbi=y,bill_full_texts\26rs_HB918.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB919,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB919&sbi=y,bill_full_texts\26rs_HB919.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB921,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB921&sbi=y,bill_full_texts\26rs_HB921.pdf,,,Alien,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB936,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB936&sbi=y,bill_full_texts\26rs_HB936.pdf,,,Alien; Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,HB943,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB943&sbi=y,bill_full_texts\26rs_HB943.pdf,,,Alien; Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,SB48,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB48&sbi=y,bill_full_texts\26rs_SB48.pdf,,,Foreign,02/12/2026,,,,,N,
Louisiana,2026 Regular Session,SB60,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB60&sbi=y,bill_full_texts\26rs_SB60.pdf,,,Alien; Foreign,02/18/2026,,,,,N,
Louisiana,2026 Regular Session,SB194,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB194&sbi=y,bill_full_texts\26rs_SB194.pdf,,,Alien; Citizenship; Foreign; Immigration,02/26/2026,,,,,N,
Louisiana,2026 Regular Session,SB200,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB200&sbi=y,bill_full_texts\26rs_SB200.pdf,,,Foreign,02/26/2026,,,,,N,
Louisiana,2026 Regular Session,SB205,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB205&sbi=y,bill_full_texts\26rs_SB205.pdf,,,Undocumented,02/26/2026,,,,,N,
Louisiana,2026 Regular Session,SB251,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB251&sbi=y,bill_full_texts\26rs_SB251.pdf,,,Foreign,02/26/2026,,,,,N,
Louisiana,2026 Regular Session,SB265,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB265&sbi=y,bill_full_texts\26rs_SB265.pdf,,,Alien; Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,SB291,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB291&sbi=y,bill_full_texts\26rs_SB291.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,SB319,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB319&sbi=y,bill_full_texts\26rs_SB319.pdf,,,Citizenship,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,SB326,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB326&sbi=y,bill_full_texts\26rs_SB326.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,SB327,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB327&sbi=y,bill_full_texts\26rs_SB327.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,SB336,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB336&sbi=y,bill_full_texts\26rs_SB336.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,SB337,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB337&sbi=y,bill_full_texts\26rs_SB337.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,SB362,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB362&sbi=y,bill_full_texts\26rs_SB362.pdf,,,Citizenship,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,SB371,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB371&sbi=y,bill_full_texts\26rs_SB371.pdf,,,Foreign; Immigration; Visa,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,SB377,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB377&sbi=y,bill_full_texts\26rs_SB377.pdf,,,Foreign,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,SB386,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB386&sbi=y,bill_full_texts\26rs_SB386.pdf,,,Citizenship; Immigration,02/27/2026,,,,,N,
Louisiana,2026 Regular Session,SB387,,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=SB387&sbi=y,bill_full_texts\26rs_SB387.pdf,,,Foreign,02/27/2026,,,,,N,
